num_text_blocks,total_text_length,avg_text_len,num_images,largest_image_area,avg_image_area,img_aspect_ratio,has_table,has_quote,has_digits,is_agenda,slide_density,source,layout_class_numeric,layout_class
11,359,32.64,0,0,0,0,0,0,1,0,2.6,real,13,timeline
2,92,46,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
2,204,102,0,0,0,0,0,0,0,0,0.2,real,1,title_center
2,103,51.5,0,0,0,0,0,0,0,0,0.2,real,1,title_center
2,98,49,0,0,0,0,0,0,0,0,0.2,real,1,title_center
1,32,32,0,0,0,0,0,0,0,0,0.2,real,1,title_center
1,21,21,0,0,0,0,0,0,0,0,0.2,real,1,title_center
1,50,50,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
1,23,23,0,0,0,0,0,0,0,0,0.2,real,1,title_center
1,51,51,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
1,29,29,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
1,60,60,0,0,0,0,1,0,1,0,0.2,real,14,table_center
1,46,46,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
2,190,95,0,0,0,0,0,0,1,0,0.2,real,1,title_center
2,53,26.5,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
1,37,37,0,0,0,0,0,0,1,0,0.2,real,11,big_stat
2,135,67.5,0,0,0,0,0,0,1,0,0.2,real,1,title_center
2,790,395,0,0,0,0,0,1,1,0,0.2,real,12,quote
2,84,42,0,0,0,0,0,0,0,0,0.2,real,1,title_center
13,407,31.31,2,0.1956,0.1954,1.81,0,0,1,0,1.7,real,9,image_grid
2,441,220.5,0,0,0,0,0,0,0,0,0.2,real,2,two_column
2,284,142,0,0,0,0,0,0,0,0,0.2,real,1,title_center
2,367,183.5,0,0,0,0,0,0,1,0,0.2,real,2,two_column
2,107,53.5,1,0.4674,0.4674,1.15,0,0,1,0,0.5,real,6,image_right
3,143,47.67,1,0.4674,0.4674,1.15,0,0,0,0,0.5,real,6,image_right
1,14,14,1,0.481,0.481,1.18,0,0,1,0,0.2,real,6,image_right
1,15,15,1,0.4675,0.4675,1.15,0,0,1,0,0.2,real,6,image_right
1,15,15,1,0.4674,0.4674,1.15,0,0,1,0,0.2,real,6,image_right
1,15,15,1,0.4674,0.4674,1.15,0,0,1,0,0.2,real,6,image_right
2,190,95,1,0.7428,0.7428,1.35,0,0,1,0,0.3,real,6,image_right
3,524,174.67,0,0,0,0,1,0,1,0,0.4,real,14,table_center
2,113,56.5,0,0,0,0,0,0,1,0,0.5,real,1,title_center
2,66,33,1,0.7278,0.7278,0.91,0,0,0,0,0.3,real,6,image_right
2,64,32,1,0.7278,0.7278,0.91,0,0,0,0,0.7,real,6,image_right
2,406,203,0,0,0,0,0,1,0,0,0.2,real,12,quote
2,44,22,0,0,0,0,0,0,0,0,0.2,real,1,title_center
