num_text_blocks,total_text_length,avg_text_len,num_images,largest_image_area,avg_image_area,img_aspect_ratio,has_table,has_quote,has_digits,is_agenda,slide_density,source,layout_class_numeric,layout_class
1,144,144.0,1,0.1,0.0,0.9860134204983684,0,1,0,0,0.2,synthetic,12,quote
2,715,357.5,0,0.0,0.0,0.0,0,0,0,0,0.2,synthetic,2,two_column
5,453,90.6,0,0.0,0.0,0.0,0,0,0,0,0.5,synthetic,13,timeline
1,568,568.0,1,0.4,0.0,2.0551745645609185,0,0,0,0,0.2,synthetic,8,image_bottom
2,514,257.0,0,0.0,0.0,0.0,0,0,0,0,0.2,synthetic,2,two_column
3,501,167.0,0,0.0,0.0,0.0,0,0,0,0,0.3,synthetic,3,three_column
2,595,297.5,0,0.0,0.0,0.0,0,0,0,0,0.2,synthetic,2,two_column
1,107,107.0,0,0.0,0.0,0.0,0,0,0,0,0.1,synthetic,1,title_center
4,516,129.0,0,0.0,0.0,0.0,0,0,0,0,0.4,synthetic,4,four_column
1,312,312.0,1,0.4,0.0,2.3365838601019644,0,0,0,0,0.2,synthetic,8,image_bottom
1,220,220.0,0,0.0,0.0,0.0,0,1,0,0,0.1,synthetic,12,quote
1,681,681.0,1,0.4,0.0,0.7721161310826579,0,0,0,0,0.2,synthetic,5,image_left
2,44,22.0,0,0.0,0.0,0.0,0,0,1,0,0.2,synthetic,11,big_stat
1,161,161.0,1,1.0,0.0,0.05845982907413423,0,0,0,0,0.2,synthetic,10,image_background
1,133,133.0,0,0.0,0.0,0.0,0,0,0,0,0.1,synthetic,1,title_center
3,148,49.333333333333336,0,0.0,0.0,0.0,0,0,0,1,0.3,synthetic,15,agenda
1,127,127.0,0,0.0,0.0,0.0,0,0,0,0,0.1,synthetic,1,title_center
3,789,263.0,0,0.0,0.0,0.0,0,0,0,0,0.3,synthetic,3,three_column
1,312,312.0,1,0.4,0.0,1.2851856124997352,0,0,0,0,0.2,synthetic,6,image_right
1,385,385.0,1,0.4,0.0,1.2126401076338873,0,0,0,0,0.2,synthetic,5,image_left
1,415,415.0,1,0.4,0.0,0.8076747461934496,0,0,0,0,0.2,synthetic,6,image_right
1,686,686.0,1,0.4,0.0,1.2296842124498257,0,0,0,0,0.2,synthetic,5,image_left
1,456,456.0,1,0.4,0.0,1.9277063098431302,0,0,0,0,0.2,synthetic,8,image_bottom
7,747,106.71428571428571,0,0.0,0.0,0.0,0,0,0,0,0.7,synthetic,13,timeline
1,100,100.0,3,0.0,0.2,0.026869842110432647,0,0,0,0,0.4,synthetic,9,image_grid
1,100,100.0,4,0.0,0.2,0.02182061387134128,0,0,0,0,0.5,synthetic,9,image_grid
1,772,772.0,1,0.4,0.0,0.8660225965352567,0,0,0,0,0.2,synthetic,6,image_right
3,313,104.33333333333333,0,0.0,0.0,0.0,0,0,0,0,0.3,synthetic,3,three_column
1,163,163.0,1,1.0,0.0,-0.07119328219721525,0,0,0,0,0.2,synthetic,10,image_background
1,564,564.0,1,0.4,0.0,1.7206260102308901,0,0,0,0,0.2,synthetic,7,image_top
1,223,223.0,1,0.1,0.0,1.0906597608260122,0,1,0,0,0.2,synthetic,12,quote
